SEXO;IDADE;GERAÇÃO;RENDA;CLASSEECONOMICA;UF;AREARISCO;FLAG_DE_SOCIO;FLAG_DE_VEICULO;FLAG_DE_BOLSAFAMILIA;FLAG_DE_APOSENTADOS;FLAG_DE_OBITO;FLAG_DE_IMOVEL;EMPREGO_FORMAL;SCORE;SCORE_FAIXA;PERSONADECREDITO;SCORE_DIGITAL;ACORDO
F;18;GEN Z;NULL;X;NULL;0;0;0;0;0;0;0;0;0;RISCO MUITO ALTO;NOVOS ENTRANTES;Digital +;0
M;22;GEN Z;1.000 ATÉ 2.000;D;PR;0;0;0;0;0;0;0;1;671;RISCO BAIXO;SEMPRE PRESENTE;Digital +;1
M;31;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;655;RISCO BAIXO;SEMPRE PRESENTE;Digital -;1
M;69;BABY_BOOMER;9.001 ATÉ 10.000;B;AL;0;1;0;0;0;0;0;0;355;RISCO MÉDIO;QUEM SOU EU;Digital + -;1
F;64;BABY_BOOMER;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;0;0;835;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
M;82;VETERANOS;2.001 ATÉ 3.000;D;SP;0;0;1;0;1;1;0;0;200;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;76;VETERANOS;3.001 ATÉ 4.000;C;SE;0;0;0;0;1;0;0;1;584;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;19;GEN Z;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;0;0;RISCO MUITO ALTO;NOVOS ENTRANTES;Digital + -;0
M;37;GEN Y;4.001 ATÉ 5.000;C;RJ;0;0;0;0;0;0;0;0;229;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
F;26;GEN Z;ATÉ 1.000;E;NULL;0;0;0;0;0;0;0;0;453;RISCO MÉDIO;QUEM SOU EU;Digital +;0
M;49;GEN X;26.001 ATÉ 27.000;A;SP;0;1;1;0;0;0;0;0;262;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;1
M;38;GEN Y;2.001 ATÉ 3.000;D;RJ;0;0;0;0;0;0;0;1;234;RISCO ALTO;PAGO QUANDO PUDER;Digital -;0
M;26;GEN Z;3.001 ATÉ 4.000;C;MG;0;0;0;0;0;0;0;1;348;RISCO MÉDIO;QUEM SOU EU;Digital ++;0
F;38;GEN Y;ATÉ 1.000;E;RJ;0;0;0;1;0;0;0;0;590;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
F;24;GEN Z;1.000 ATÉ 2.000;D;SC;0;0;0;0;0;0;0;1;492;RISCO MÉDIO;QUEM SOU EU;Digital +;0
M;33;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;651;RISCO BAIXO;SEMPRE PRESENTE;Digital -;0
F;60;BABY_BOOMER;ATÉ 1.000;E;RJ;0;0;0;1;0;0;0;0;862;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
M;29;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;0;230;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
F;49;GEN X;2.001 ATÉ 3.000;D;SP;0;0;1;0;0;0;0;0;68;RISCO MUITO ALTO;FUJAM DE MIM;Digital -;0
M;29;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;0;169;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
F;35;GEN Y;1.000 ATÉ 2.000;D;ES;0;0;0;0;0;0;0;0;311;RISCO MÉDIO;QUEM SOU EU;Digital -;1
M;37;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;241;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
M;82;VETERANOS;2.001 ATÉ 3.000;D;MG;0;0;0;0;0;0;0;0;649;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;35;GEN Y;4.001 ATÉ 5.000;D;RJ;0;0;0;0;0;0;0;1;45;RISCO MUITO ALTO;FUJAM DE MIM;Digital +;0
F;31;GEN Y;1.000 ATÉ 2.000;D;MG;0;0;0;0;0;0;0;0;619;RISCO BAIXO;SEMPRE PRESENTE;Digital -;1
M;53;GEN X;ATÉ 1.000;E;SP;0;0;1;0;0;0;0;0;228;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;36;GEN Y;3.001 ATÉ 4.000;C;RJ;0;1;0;0;0;0;0;0;99;RISCO MUITO ALTO;FUJAM DE MIM;Digital +;0
I;52;GEN X;2.001 ATÉ 3.000;D;SP;0;1;1;0;0;0;0;1;435;RISCO MÉDIO;QUEM SOU EU;Digital +;1
M;33;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;1;301;RISCO MÉDIO;QUEM SOU EU;Digital +;0
F;73;BABY_BOOMER;ATÉ 1.000;E;CE;0;1;0;0;1;0;0;0;816;RISCO MUITO BAIXO;O BEM AMADO;Digital --;0
F;37;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;333;RISCO MÉDIO;QUEM SOU EU;Digital +;1
M;53;GEN X;2.001 ATÉ 3.000;D;SP;0;0;0;0;0;0;0;1;161;RISCO ALTO;PAGO QUANDO PUDER;Digital -;0
F;19;GEN Z;NULL;X;NULL;0;0;0;0;0;0;0;0;0;RISCO MUITO ALTO;NOVOS ENTRANTES;Digital + -;0
F;36;GEN Y;1.000 ATÉ 2.000;D;RJ;0;1;0;0;0;0;0;1;419;RISCO MÉDIO;QUEM SOU EU;Digital + -;0
M;68;BABY_BOOMER;1.000 ATÉ 2.000;D;AM;0;0;0;0;0;0;0;0;214;RISCO ALTO;PAGO QUANDO PUDER;Digital -;0
F;29;GEN Y;2.001 ATÉ 3.000;D;MG;0;1;0;0;0;0;0;0;47;RISCO MUITO ALTO;FUJAM DE MIM;Digital ++;1
M;28;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;0;247;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
F;27;GEN Z;NULL;X;PE;0;1;0;0;0;0;0;0;536;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;1
M;37;GEN Y;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;1;679;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;0
F;41;GEN Y;ATÉ 1.000;E;RJ;0;0;0;0;0;0;0;1;528;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;37;GEN Y;2.001 ATÉ 3.000;D;RJ;0;0;0;0;0;0;0;1;357;RISCO MÉDIO;QUEM SOU EU;Digital -;1
M;35;GEN Y;ATÉ 1.000;E;SP;0;0;0;0;0;0;0;1;726;RISCO MUITO BAIXO;O BEM AMADO;Digital + -;0
M;32;GEN Y;1.000 ATÉ 2.000;D;SP;0;0;1;0;0;0;0;1;266;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
F;54;GEN X;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;0;429;RISCO MÉDIO;QUEM SOU EU;Digital --;0
F;76;VETERANOS;2.001 ATÉ 3.000;D;SC;0;1;0;0;1;0;0;0;208;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;53;GEN X;1.000 ATÉ 2.000;D;SP;0;0;1;0;0;0;0;1;77;RISCO MUITO ALTO;FUJAM DE MIM;Digital --;0
M;30;GEN Y;1.000 ATÉ 2.000;D;NULL;0;0;0;0;0;0;0;0;584;RISCO BAIXO;SEMPRE PRESENTE;Digital + -;0
M;22;GEN Z;1.000 ATÉ 2.000;D;SC;0;0;0;0;0;0;0;1;687;RISCO BAIXO;SEMPRE PRESENTE;Digital +;0
F;55;GEN X;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;0;1;181;RISCO ALTO;PAGO QUANDO PUDER;Digital --;0
M;55;GEN X;1.000 ATÉ 2.000;D;SP;0;0;0;0;0;0;0;0;762;RISCO MUITO BAIXO;O BEM AMADO;Digital --;1
